,rxns,subsystems
233,MAR04171,Purine metabolism
234,MAR04290,Purine metabolism
235,MAR04406,Purine metabolism
236,MAR04412,Purine metabolism
237,MAR04417,Purine metabolism
238,MAR04418,Purine metabolism
239,MAR04419,Purine metabolism
240,MAR04421,Purine metabolism
241,MAR04449,Purine metabolism
242,MAR04450,Purine metabolism
243,MAR04451,Purine metabolism
244,MAR04452,Purine metabolism
245,MAR04453,Purine metabolism
246,MAR04480,Purine metabolism
247,MAR04481,Purine metabolism
248,MAR04482,Purine metabolism
249,MAR04486,Purine metabolism
250,MAR04487,Purine metabolism
251,MAR04488,Purine metabolism
252,MAR04489,Purine metabolism
253,MAR04492,Purine metabolism
254,MAR04493,Purine metabolism
255,MAR04495,Purine metabolism
256,MAR04496,Purine metabolism
257,MAR04518,Purine metabolism
258,MAR04519,Purine metabolism
259,MAR04520,Purine metabolism
260,MAR04573,Purine metabolism
261,MAR04574,Purine metabolism
262,MAR04600,Purine metabolism
263,MAR04602,Purine metabolism
264,MAR04603,Purine metabolism
265,MAR04611,Purine metabolism
266,MAR04612,Purine metabolism
267,MAR04614,Purine metabolism
268,MAR04615,Purine metabolism
269,MAR04617,Purine metabolism
270,MAR04618,Purine metabolism
271,MAR04619,Purine metabolism
272,MAR04621,Purine metabolism
273,MAR04632,Purine metabolism
274,MAR04646,Purine metabolism
275,MAR04648,Purine metabolism
276,MAR04649,Purine metabolism
277,MAR04650,Purine metabolism
278,MAR04651,Purine metabolism
279,MAR04663,Purine metabolism
280,MAR04664,Purine metabolism
281,MAR04694,Purine metabolism
282,MAR04695,Purine metabolism
283,MAR04705,Purine metabolism
284,MAR04709,Purine metabolism
285,MAR04799,Purine metabolism
286,MAR04802,Purine metabolism
287,MAR04804,Purine metabolism
288,MAR04808,Purine metabolism
289,MAR04810,Purine metabolism
290,MAR04812,Purine metabolism
291,MAR04814,Purine metabolism
292,MAR05301,Purine metabolism
293,MAR05353,Purine metabolism
294,MAR06601,Purine metabolism
295,MAR06602,Purine metabolism
296,MAR06603,Purine metabolism
297,MAR06605,Purine metabolism
298,MAR06606,Purine metabolism
299,MAR06607,Purine metabolism
300,MAR06609,Purine metabolism
301,MAR06610,Purine metabolism
302,MAR06611,Purine metabolism
303,MAR07144,Purine metabolism
304,MAR08755,Purine metabolism
305,MAR09797,Purine metabolism
306,MAR04016,Purine metabolism
307,MAR04018,Purine metabolism
308,MAR04044,Purine metabolism
309,MAR04291,Purine metabolism
310,MAR04420,Purine metabolism
311,MAR04570,Purine metabolism
312,MAR04572,Purine metabolism
313,MAR04006,Pyrimidine metabolism
314,MAR04028,Pyrimidine metabolism
315,MAR04030,Pyrimidine metabolism
316,MAR04670,Pyrimidine metabolism
317,MAR04673,Pyrimidine metabolism
318,MAR04675,Pyrimidine metabolism
319,MAR06614,Pyrimidine metabolism
320,MAR06615,Pyrimidine metabolism
321,MAR06616,Pyrimidine metabolism
322,MAR04635,Pyrimidine metabolism
323,MAR03793,Pyrimidine metabolism
324,MAR03931,Pyrimidine metabolism
325,MAR03969,Pyrimidine metabolism
326,MAR03970,Pyrimidine metabolism
327,MAR04008,Pyrimidine metabolism
328,MAR04032,Pyrimidine metabolism
329,MAR04034,Pyrimidine metabolism
330,MAR04036,Pyrimidine metabolism
331,MAR04050,Pyrimidine metabolism
332,MAR04056,Pyrimidine metabolism
333,MAR04059,Pyrimidine metabolism
334,MAR04060,Pyrimidine metabolism
335,MAR04127,Pyrimidine metabolism
336,MAR04177,Pyrimidine metabolism
337,MAR04179,Pyrimidine metabolism
338,MAR04182,Pyrimidine metabolism
339,MAR04183,Pyrimidine metabolism
340,MAR04192,Pyrimidine metabolism
341,MAR04194,Pyrimidine metabolism
342,MAR04210,Pyrimidine metabolism
343,MAR04211,Pyrimidine metabolism
344,MAR04343,Pyrimidine metabolism
345,MAR04345,Pyrimidine metabolism
346,MAR04346,Pyrimidine metabolism
347,MAR04470,Pyrimidine metabolism
348,MAR04471,Pyrimidine metabolism
349,MAR04472,Pyrimidine metabolism
